11	算法工程师	https://www.lagou.com/jobs/6290014.html	推荐算法工程师	Java|数据挖掘|Python	20k-40k	全职	深圳	南山区	万利达	本科及以上	不限	2020-04-06	岗位职责：1、负责Now直播数据体系建设，包括搭建数据仓库，建立指标体系，完成数据分析，报表开发及可视化呈现；2、负责个性化推荐，包括特征，召回，排序，和混排的算法工作。熟悉模型建设前沿技术，富有针对业务场景独特创新的经验。通过算法优化不断提升推荐效率和多目标全局指标。3、负责用户标签系统建设，对用户生命周期进行管理，通过数据分析为产品提供策略指导，帮助用户增长岗位要求：1、计算机或者数学相关专业；2、熟练掌握hiveSQL、python；熟悉GOJAVA，C，C++等至少一门编程语言；3、熟悉Hadoop/Spark/Hive/Storm等大数据处理系统，了解其运行原理；4、有较好的产品sense，具备较强的数据分析能力5、有推荐/广告/搜索相关的算法经验优先；有良好的逻辑思维和沟通协调能力	腾讯	2000人以上	社交	上市公司	福利待遇|工作环境|发展前景
12	工艺工程师	https://www.lagou.com/jobs/6963669.html	工艺工程师	汽车|硬件制造|工业设计	7k-10k	全职	烟台	开发区	秦淮河路369号	本科及以上	3-5年	2020-04-02	1、负责生产加工图纸的深化与优化;2、负责产品工艺文件的编制；3、负责产品材料预算文件的编制；4、负责产品检验标准的编制；5、负责与生产工艺师的工作对接；6、负责配合与协助OEM商产品批量生产的工艺改进，寻找产品生产最佳的方法；任职要求1、本科及以上学历，35岁以下，工艺、材料、机械，结构类专业;2、熟悉金属材料与钣金工艺，了解户外公共设施产品的材料、工艺与结构;3、有产品质量控制,跟进产品生产质量及验货的经验;4、能熟练使用办公软件与solidworks,proe等三维工程软件；CAD二维软件；5、要求有责任心，有担当，执行力强，思维清晰，原则性强，有较强的团队协作精神，具备外地出差条件；6、有户外照明灯具，户外城市家具，景观工程行业设计经验者优先。	欧力普公共艺术智造	15-50人	其他	未融资	机械设计|钣金钢结构
13	Python工程师	https://www.lagou.com/jobs/6149940.html	Python开发工程师（研发效率...	后端开发	25k-50k	全职	上海	闵行区	宜山路1999号科技绿洲三期24号楼	本科及以上	3-5年	2020-04-06	职位职责：1、负责开发字节跳动DevOps工程效率平台的后端模块；2、负责高性能、高可用构建系统建设；3、负责研发流水线插件设计和实现及能力介入落地；4、通过平台、工具、最佳实践提升业务研发的效率；5、包括但是不限于这些工作：编译、构建、二进制管理、持续集成、发布流程。职位要求：1、精通python，有丰富的工程经验；至少熟悉一种js前端技术框架，react优先；2、熟练掌握docker、registry的使用和优化；3、了解高并发、高可用设计，对微服务、serverless等应用架构有一定认识；4、熟悉常见的构建和和配置管理工具；5、对软件工程有较好的理解和实践。具备以下条件之一者优先:1、参与过大型容器云项目；2、熟悉并参与负责过大型项目的持续集成改进；3、有全栈工具开发经验、有私有云平台工具开发经验。	字节跳动	2000人以上	文娱丨内容	C轮	六险一金|弹性工作|免费三餐|租房补贴
14	C++工程师	https://www.lagou.com/jobs/4471534.html	C++工程师	金融|后端|分布式|Linux/Unix|C++	14k-25k	全职	深圳	福田区	天安数码城天经大厦A座603	本科及以上	1-3年	2020-04-06	岗位职责：1、从事金融类基础架构软件的设计和研发；2、承担分布式系统消息中间件子模块的设计、编码和测试；3、参与版本发布、技术支持，问题定位，缺陷修复，测试调优。任职要求：1、本科及以上学历，1年以上软件研发工作经验（优秀毕业生亦可）；2、熟悉使用STL和Boost库，有多线程编程经验；3、熟悉Linux系统、高性能网络编程、TCP/IP协议栈及ZeroMQ、Kafka或ActiveMQ等消息中间件；4、条理清晰，沟通表达能力良好，对技术有好奇心，善于研究学习；5、有高可用、高并发、低时延等分布式系统场景设计和研发经验者、有证券交易系统开发经验、熟悉证券交易业务流程或交易所接口者优先考虑；6、对于经验更丰富、能力更强，有相关领域开发经验者，将以更高级别招聘入职。	华锐金融技术	150-500人	移动互联网,金融	B轮	五险一金|股权激励|员工食堂|加班补贴
15	算法工程师	https://www.lagou.com/jobs/6451603.html	推荐算法工程师	算法	25k-40k	全职	北京	海淀区	学清路东50米学清嘉创大厦B座1层	本科及以上	1-3年	2020-04-06	职位职责：1、负责改进企业SaaS平台产品推荐系统，提升用户体验；2、主要工作包括：推荐模型改进，用户画像优化，文档理解等；3、参与打造新一代的企业智能产品。职位要求：1、本科及以上学历，1年以上推荐系统领域工作经验；2、扎实的编程基础，熟悉linux开发环境，熟悉python和C++优先；3、优秀的分析问题能力和解决问题能力，对解决具有挑战性问题充满激情；4、有扎实的数据结构和算法功底，熟悉推荐算法和具体落地，如特征挖掘、相关机器学习、统计原理等；5、有搜索/推荐相关领域的研发经验，并在某一个领域有深入积累将会成为加分项。	字节跳动	2000人以上	文娱丨内容	C轮	六险一金|高薪期权|弹性工作|免费三餐
16	工艺工程师	https://www.lagou.com/jobs/6285683.html	工艺工程师	其他	5k-8k	全职	中山	中山市市辖区	黄圃镇健智路2号	大专及以上	3-5年	2020-03-30	性别：不限；年龄：25~35；工作经验：3年以上；专业：机械、机电、模具、自动化等相关专业，大专以上学历；专业技能1.能较熟练使用AutoCAD、PROE/CERO绘图软件等；2.熟悉五金加工钣金折弯、冲压、焊接、打磨、模具制作工艺流程及技术要求；3.掌握机械原理，能独立进行受力分析、结构分析；4.熟悉家电产品常用装配工艺，能独立解决产品生产过程中的相关问题。5.了解常用质量管理工具，能主导进行较系统的质量分析和改善；6.沟通能力强，做事认真细心，责任心强，有一定的承压能力，注重团队协作；工作方向：产品生产工艺跟进、现场质量问题解决、工艺路线制定、作业规程编制。	波茵智能家居	500-2000人	房产家居	不需要融资	待遇优厚
17	Python工程师	https://www.lagou.com/jobs/6951634.html	python开发工程师	移动互联网|后端	10k-20k	全职	杭州	滨江区	杭州市滨江区信诚路555号科达投资大厦A座1701-1702室	本科及以上	1-3年	2020-04-06	统招二本以上学历，1年以上python开发经验。	易宝软件科技（南京）有限公司	150-500人	移动互联网	上市公司	项目奖金1-3个月
18	C++工程师	https://www.lagou.com/jobs/6751449.html	C++工程师	C++|Linux/Unix|后端|分布式	14k-25k	全职	上海	浦东新区	杨高南路1998号开伦聿缘9号楼	本科及以上	1-3年	2020-04-06	岗位职责：1、从事金融类基础架构软件的设计和研发；2、承担分布式系统消息中间件子模块的设计、编码和测试；3、参与版本发布、技术支持，问题定位，缺陷修复，测试调优。任职要求：1、本科及以上学历，1年以上软件研发工作经验（优秀毕业生亦可）；2、熟悉使用STL和Boost库，有多线程编程经验；3、熟悉Linux系统、高性能网络编程、TCP/IP协议栈及ZeroMQ、Kafka或ActiveMQ等消息中间件；4、条理清晰，沟通表达能力良好，对技术有好奇心，善于研究学习；5、有高可用、高并发、低时延等分布式系统场景设计和研发经验者、有证券交易系统开发经验、熟悉证券交易业务流程或交易所接口者优先考虑；6、对于经验更丰富、能力更强，有相关领域开发经验者，将以更高级别招聘入职	华锐金融技术	150-500人	移动互联网,金融	B轮	股权激励|加班补贴|扁平化管理|大牛多
19	算法工程师	https://www.lagou.com/jobs/6275817.html	推荐算法工程师	算法	25k-50k	全职	北京	海淀区	学清路东50米学清嘉创大厦B座1层	本科及以上	3-5年	2020-04-06	职位职责：1、负责改进企业SaaS平台产品推荐系统，提升用户体验；2、主要工作包括：推荐模型改进，用户画像优化，文档理解等；3、参与打造新一代的企业智能产品。职位要求：1、本科及以上学历，一年以上推荐系统领域工作经验；2、扎实的编程基础，熟悉linux开发环境，熟悉python和C++优先；3、优秀的分析问题能力和解决问题能力，对解决具有挑战性问题充满激情；4、有扎实的数据结构和算法功底，熟悉推荐算法和具体落地，如特征挖掘、相关机器学习、统计原理等；5、有搜索/推荐相关领域的研发经验，并在某一个领域有深入积累将会成为加分项。	字节跳动	2000人以上	文娱丨内容	C轮	六险一金|弹性工作|免费三餐|租房补贴
20	工艺工程师	https://www.lagou.com/jobs/6912492.html	工艺工程师	医疗健康	6k-8k	全职	深圳	南山区	桃源街道平山民企科技园6B栋2层201	大专及以上	1-3年	2020-03-31	素质要求：1.电子、电气、机械相关专业大专及以上学历；2.一年以上PCBA维修工作经验，一年以上测试相关工作经验，有医疗设备相关经验优先；3.精通AutoCAD，ProTel，了解电子、电气、机械相关基础知识；4.熟悉产品、工艺流程，有良好的协调能力和解决问题能力；5.熟悉测试仪器的使用及维护，测试环境的搭建。工作职责：1.样机试产中协助测试环境的搭建，并协助输出搭建方案；2.对测试方案提出改进并跟进；3.测试工装家具的验证，并提出改进意见；4.负责公司产线不良品及返修配件的分析、诊断、维修工作；5.测试及维修相关文件的编制。	普特生物医学	150-500人	医疗丨健康	不需要融资	周末双休|项目奖金|地铁沿线|发展机会
